cruise,station,type,time,lon,lat,local_cdi_ID,EDMO_code,bottle_depth,sensor_pressure,sensor_pressure_flag,potential_temperature,potential_temperature_flag,practical_salinity,practical_salinity_flag,sigma_theta,sigma_theta_flag,uncalibrated_CTD_temperature,uncalibrated_CTD_temperature_flag
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,51.5,1,16.418,1,35.633,8,26.139,1,16.426,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,52.5,1,15.85,1,35.66,8,26.291,1,15.857999999999999,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,53.5,1,15.700999999999999,1,35.687,1,26.345,1,15.71,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,54.5,1,15.630999999999998,1,35.688,1,26.362,1,15.639000000000001,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,55.5,1,15.562000000000001,1,35.714,1,26.398000000000003,1,15.571,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,56.5,1,15.562000000000001,1,35.76,1,26.433000000000003,1,15.571,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,57.5,1,15.577,1,35.781,1,26.445999999999998,1,15.585999999999999,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,58.5,1,15.520999999999999,1,35.788000000000004,1,26.464000000000002,1,15.53,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,59.5,1,15.38,1,35.806,1,26.51,1,15.39,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,60.5,1,15.350999999999999,1,35.803000000000004,1,26.514,1,15.36,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,61.5,1,15.286,1,35.798,1,26.525,1,15.295,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,62.5,1,15.24,1,35.79,1,26.529,1,15.25,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,63.5,1,15.213,1,35.774,8,26.523000000000003,1,15.222999999999999,1
JR19950921,CTD03,*,1995-09-27T11:01:00,-19.985,47.0132,1056500.0,43.0,4545.7,64.5,1,14.97,1,35.759,1,26.565,1,14.98,1
